Time(Iteration),CLCB,CLCB_Attack
569,1,0
570,0,0
571,0,0
572,1,0
573,1,0
574,1,1
575,1,0
576,0,0
577,0,0
578,1,2
579,0,0
580,1,0
581,0,0
582,0,1
583,0,0
584,0,1
585,0,0
586,0,1
587,0,0
588,0,1
589,0,0
590,0,0
591,0,1
592,0,1
593,0,0
594,1,0
595,2,0
596,0,0
597,0,1
598,0,0
599,0,0
600,0,0
601,0,1
602,0,0
603,1,0
604,0,0
605,0,1
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,1,0
612,1,1
613,2,0
614,1,2
615,0,0
616,0,0
617,0,1
618,0,1
619,0,0
620,0,0
621,0,1
622,1,1
623,0,0
624,0,0
625,0,3
626,0,3
627,0,0
628,0,0
629,0,1
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,1
639,0,1
640,0,1
641,0,1
642,0,0
643,0,1
644,0,0
645,0,0
646,1,0
647,0,0
648,0,1
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,1
656,0,0
657,0,2
658,1,0
659,0,0
660,0,1
661,0,0
662,0,1
663,0,0
664,0,1
665,0,1
666,0,1
667,0,1
668,1,0
669,0,1
670,0,0
671,0,0
672,1,0
673,0,0
674,0,0
675,0,0
676,1,0
677,0,1
678,0,0
679,1,0
680,0,0
681,0,0
682,0,0
683,0,2
684,1,0
685,0,0
686,1,1
687,1,0
688,1,1
689,0,0
690,0,1
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,2
697,0,0
698,0,0
699,0,0
700,0,2
701,0,0
702,0,0
703,0,3
704,1,0
705,0,0
706,0,0
707,0,0
708,0,1
709,0,2
710,0,0
711,0,1
712,0,0
713,0,0
714,0,1
715,0,0
716,0,1
717,0,0
718,0,1
719,0,0
720,0,0
721,1,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,1
727,1,2
728,0,0
729,0,1
730,1,0
731,0,1
732,0,0
733,0,2
734,1,1
735,0,0
736,0,1
737,0,1
738,0,0
739,0,0
740,0,1
741,1,0
742,0,1
743,0,0
744,0,0
745,0,1
746,1,0
747,0,0
748,0,0
749,1,0
750,0,1
751,0,0
752,0,0
753,1,0
754,0,1
755,0,1
756,0,0
757,0,0
758,1,1
759,0,0
760,0,0
761,1,0
762,0,0
763,1,0
764,0,3
765,0,0
766,1,1
767,0,0
768,1,1
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,1
775,0,0
776,0,0
777,0,0
778,1,0
779,0,0
780,0,1
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,1
789,0,1
790,0,0
791,0,0
792,0,1
793,0,0
794,0,1
795,1,1
796,0,1
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,2
803,0,0
804,1,2
805,0,0
806,0,0
807,0,0
808,0,1
809,0,0
810,0,0
811,0,0
812,0,0
813,0,1
814,0,0
815,0,0
816,0,2
817,0,0
818,1,0
819,0,0
820,0,0
821,0,1
822,1,0
823,0,0
824,0,0
825,0,0
826,1,0
827,0,0
828,1,0
829,0,0
830,0,1
831,0,0
832,0,1
833,0,1
834,0,0
835,0,2
836,0,2
837,0,1
838,0,0
839,0,1
840,0,0
841,0,1
842,1,0
843,0,0
844,0,0
845,1,1
846,0,0
847,0,1
848,0,0
849,0,1
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,1
859,0,0
860,0,0
861,0,1
862,0,0
863,0,1
864,0,1
865,0,0
866,0,0
867,0,1
868,0,0
869,0,0
870,1,0
871,0,1
872,0,0
873,0,0
874,0,0
875,1,1
876,0,0
877,0,0
878,0,1
879,2,0
880,0,0
881,0,0
882,0,0
883,0,1
884,0,0
885,0,0
886,0,0
887,0,0
888,0,1
889,0,0
890,2,1
891,0,0
892,0,0
893,0,0
894,0,1
895,0,0
896,1,0
897,0,0
898,0,1
899,0,0
900,0,0
901,0,0
902,0,0
903,0,2
904,0,0
905,0,0
906,0,0
907,0,1
908,0,0
909,0,0
910,0,1
911,0,0
912,0,1
913,1,1
914,0,0
915,0,1
916,0,1
917,0,1
918,0,2
919,0,0
920,1,1
921,0,1
922,1,0
923,1,0
924,0,0
925,0,0
926,1,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,1
932,0,1
933,0,0
934,0,0
935,1,0
936,0,1
937,0,0
938,0,0
939,0,0
940,0,1
941,0,0
942,0,1
943,0,1
944,1,0
945,1,0
946,0,0
947,0,2
948,0,0
949,0,1
950,1,0
951,0,0
952,0,0
953,0,2
954,0,0
955,0,0
956,1,0
957,0,0
958,0,0
959,0,0
960,1,0
961,0,1
962,1,0
963,0,1
964,0,0
965,0,1
966,1,0
967,0,0
968,0,0
969,0,1
970,0,0
971,0,1
972,0,1
973,0,1
974,0,0
975,0,0
976,0,0
977,0,0
978,0,1
979,0,0
980,0,0
981,0,2
982,0,2
983,0,0
984,0,0
985,0,0
986,0,1
987,0,0
988,0,1
989,0,0
990,0,0
991,0,0
992,1,1
993,0,2
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,1
1000,0,1
1001,0,0
1002,0,0
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,1
1008,0,0
1009,0,0
1010,0,0
1011,0,1
1012,0,0
1013,0,0
1014,0,0
1015,0,3
1016,0,0
1017,2,0
1018,0,0
1019,1,0
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,1
1025,0,2
1026,0,0
1027,0,0
1028,0,0
1029,0,0
1030,0,0
1031,0,0
1032,1,0
1033,0,1
1034,0,0
1035,0,0
1036,0,2
1037,0,1
1038,0,0
1039,1,0
1040,0,0
1041,0,0
1042,0,0
1043,0,2
1044,0,1
1045,0,1
1046,0,0
1047,0,0
1048,0,1
1049,0,0
1050,1,0
1051,0,0
1052,0,1
1053,0,0
1054,2,0
1055,0,0
1056,1,1
1057,0,1
1058,0,0
1059,0,0
1060,0,0
1061,0,0
1062,0,3
1063,1,0
1064,0,0
1065,0,0
1066,0,1
1067,0,0
1068,0,0
1069,0,1
1070,1,0
1071,0,1
1072,1,0
1073,0,1
1074,2,0
1075,0,1
1076,0,0
1077,0,0
1078,0,0
1079,0,0
1080,0,0
1081,0,1
1082,0,0
1083,0,1
1084,0,0
1085,0,1
1086,0,0
1087,0,0
1088,0,1
1089,0,1
1090,0,1
1091,1,1
1092,0,1
1093,0,0
1094,0,0
1095,0,0
1096,0,0
1097,1,0
1098,1,1
1099,0,1
1100,0,0
1101,0,0
1102,0,1
1103,1,0
1104,0,0
1105,0,1
1106,0,0
1107,0,0
1108,2,0
1109,0,0
1110,0,0
1111,2,0
1112,0,0
1113,0,0
1114,0,0
1115,0,1
1116,0,0
1117,1,0
1118,0,1
1119,1,2
1120,1,0
1121,0,0
1122,0,0
1123,1,1
1124,2,0
1125,0,0
1126,0,0
1127,0,0
1128,0,0
1129,0,1
1130,0,1
1131,0,0
1132,1,1
1133,0,0
1134,0,0
1135,0,2
1136,0,0
1137,0,1
1138,0,0
1139,1,1
1140,0,0
1141,0,1
1142,0,0
1143,0,0
1144,0,1
1145,0,1
1146,0,0
1147,0,0
1148,0,0
1149,0,0
1150,1,0
1151,1,0
1152,0,0
1153,1,0
1154,0,0
1155,0,1
1156,0,0
1157,0,0
1158,0,0
1159,0,0
1160,0,0
1161,0,0
1162,0,0
1163,0,0
1164,0,0
1165,0,0
1166,2,1
1167,0,0
1168,0,0
1169,0,1
1170,1,0
1171,0,0
1172,0,1
1173,0,0
1174,1,0
1175,0,2
1176,0,0
1177,0,0
1178,0,0
1179,0,0
1180,0,0
1181,1,2
1182,0,0
1183,1,1
1184,1,0
1185,0,1
1186,0,0
1187,0,0
1188,0,1
1189,1,1
1190,0,1
1191,0,1
1192,0,0
1193,0,0
1194,0,0
1195,0,0
1196,0,2
1197,0,0
1198,0,0
1199,0,0
1200,0,0
1201,1,2
1202,1,1
1203,0,0
1204,1,0
1205,0,0
1206,0,0
1207,0,0
1208,0,1
1209,0,0
1210,0,1
1211,0,0
1212,0,0
1213,0,0
1214,1,0
1215,1,1
1216,0,0
1217,1,1
1218,0,0
1219,0,0
1220,0,0
1221,2,1
1222,0,0
1223,0,1
1224,0,0
1225,0,1
1226,0,1
1227,0,0
1228,0,0
1229,1,0
1230,0,0
1231,0,0
1232,1,0
1233,0,0
1234,0,1
1235,1,0
1236,1,1
1237,0,1
1238,0,1
1239,0,0
1240,0,0
1241,0,0
1242,0,1
1243,0,0
1244,0,1
1245,0,0
1246,1,0
1247,0,0
1248,0,0
1249,0,1
1250,0,1
1251,0,0
1252,0,0
1253,0,0
1254,0,1
1255,0,0
1256,0,0
1257,1,0
1258,1,0
1259,0,0
1260,0,0
1261,1,0
1262,0,0
1263,0,2
1264,0,0
1265,0,1
1266,0,1
1267,0,1
1268,1,0
1269,1,1
1270,0,0
1271,0,0
1272,0,3
1273,0,0
1274,0,0
1275,1,1
1276,0,0
1277,0,1
1278,0,0
1279,0,0
1280,1,0
1281,0,0
1282,0,0
1283,1,0
1284,0,1
1285,0,0
1286,0,1
1287,0,2
1288,0,0
1289,1,0
1290,0,0
1291,0,0
1292,0,0
1293,0,0
1294,0,0
1295,0,0
1296,1,0
1297,0,0
1298,0,0
1299,0,0
1300,0,0
1301,1,0
1302,1,0
1303,0,0
1304,0,0
1305,0,0
1306,0,0
1307,0,0
1308,0,0
1309,0,0
1310,0,0
1311,0,0
1312,0,0
1313,0,1
1314,0,0
1315,0,0
1316,0,0
1317,2,0
1318,0,0
1319,0,0
1320,1,0
1321,1,0
1322,0,1
1323,1,1
1324,0,0
1325,1,1
1326,0,1
1327,0,1
1328,0,0
1329,2,0
1330,1,1
1331,0,0
1332,0,0
1333,1,1
1334,0,0
1335,0,0
1336,0,1
1337,0,0
1338,0,1
1339,0,2
1340,0,0
1341,0,1
1342,0,0
1343,0,1
1344,1,1
1345,0,1
1346,0,0
1347,0,0
1348,0,1
1349,0,1
1350,0,0
1351,1,0
1352,0,0
1353,1,1
1354,0,1
1355,1,0
1356,0,2
1357,0,0
1358,0,2
1359,0,1
1360,1,0
1361,0,0
1362,0,0
1363,0,2
1364,0,0
1365,0,0
1366,1,0
1367,0,0
1368,0,0
1369,0,0
1370,0,0
1371,2,0
1372,0,1
1373,0,0
1374,0,0
1375,0,1
1376,0,1
1377,1,0
1378,0,0
1379,0,0
1380,0,1
1381,0,0
1382,1,0
1383,0,0
1384,0,0
1385,1,1
1386,0,0
1387,0,0
1388,0,0
1389,0,0
1390,1,2
1391,0,0
1392,0,0
1393,0,0
1394,0,0
1395,0,1
1396,0,1
1397,1,0
1398,0,1
1399,1,0
1400,2,0
1401,0,0
1402,0,0
1403,0,0
1404,1,0
1405,0,2
1406,0,1
1407,1,0
1408,0,0
1409,0,0
1410,0,2
1411,2,0
1412,1,0
1413,0,0
1414,0,0
1415,0,2
1416,0,0
1417,0,0
1418,0,1
1419,0,1
1420,0,1
1421,0,0
1422,1,1
1423,0,2
1424,1,0
1425,0,1
1426,0,1
1427,0,1
1428,0,0
1429,0,1
1430,1,1
1431,0,0
1432,0,0
1433,0,0
1434,0,0
1435,0,0
1436,0,0
1437,0,2
1438,0,0
1439,0,1
1440,0,0
1441,0,0
1442,0,0
1443,0,1
1444,0,0
1445,1,1
1446,0,2
1447,0,0
1448,0,1
1449,0,0
1450,0,2
1451,0,0
1452,0,1
1453,0,0
1454,0,1
1455,0,1
1456,0,0
1457,0,1
1458,0,2
1459,0,0
1460,0,0
1461,0,0
1462,0,0
1463,0,0
1464,0,0
1465,0,0
1466,0,0
1467,0,0
1468,0,0
1469,1,1
1470,0,0
1471,1,2
1472,0,0
1473,0,1
1474,1,0
1475,0,0
1476,0,0
1477,0,0
1478,0,1
1479,0,1
1480,0,0
1481,1,0
1482,0,0
1483,0,0
1484,0,0
1485,0,0
1486,0,0
1487,1,0
1488,0,0
1489,0,0
1490,0,1
1491,0,1
1492,0,0
1493,1,0
1494,1,0
1495,0,1
1496,0,1
1497,0,0
1498,0,1
1499,0,0
1500,0,2
1501,1,1
1502,0,0
1503,0,0
1504,1,0
1505,0,0
1506,0,1
1507,0,0
1508,0,0
1509,0,0
1510,0,0
1511,0,1
1512,0,0
1513,0,1
1514,0,1
1515,0,0
1516,0,1
1517,1,0
1518,0,0
1519,0,0
1520,0,0
1521,0,0
1522,0,0
1523,0,0
1524,0,1
1525,0,0
1526,0,1
1527,0,2
1528,1,1
1529,0,1
1530,1,1
1531,0,1
1532,0,0
1533,0,0
1534,0,0
1535,0,0
1536,0,0
1537,1,0
1538,0,1
1539,1,1
1540,0,0
1541,0,1
1542,0,2
1543,0,1
1544,0,1
1545,0,0
1546,0,0
1547,1,0
1548,0,0
1549,0,1
1550,0,0
1551,2,1
1552,0,0
1553,0,0
1554,0,1
1555,0,2
1556,0,0
1557,0,0
1558,0,0
1559,1,2
1560,0,1
1561,0,0
1562,0,0
1563,0,0
1564,1,0
1565,0,0
1566,0,1
1567,0,1
1568,2,0
1569,0,0
1570,0,0
1571,0,1
1572,0,0
1573,0,0
1574,0,0
1575,0,2
1576,0,0
1577,0,0
1578,0,0
1579,1,0
1580,1,1
1581,0,1
1582,0,0
1583,0,0
1584,0,1
1585,0,0
1586,0,0
1587,0,1
1588,0,1
1589,0,0
1590,0,0
1591,1,1
1592,0,0
1593,0,0
1594,0,1
1595,0,0
1596,0,2
1597,0,0
1598,0,1
1599,0,1
1600,1,2
1601,0,0
1602,1,1
1603,0,0
1604,0,2
1605,0,0
1606,0,0
1607,0,0
1608,0,1
1609,0,1
1610,0,1
1611,0,0
1612,0,0
1613,0,0
1614,0,1
1615,0,0
1616,1,0
1617,0,2
1618,0,0
1619,0,0
1620,1,0
1621,0,1
1622,0,0
1623,0,0
1624,0,0
1625,0,0
1626,0,0
1627,0,1
1628,1,0
1629,2,1
1630,0,0
1631,0,0
1632,0,0
1633,1,0
1634,2,0
1635,0,1
1636,1,0
1637,0,2
1638,1,1
1639,0,0
1640,0,0
1641,0,1
1642,0,0
1643,0,1
1644,0,1
1645,0,0
1646,1,1
1647,0,0
1648,2,0
1649,0,0
1650,0,1
1651,1,1
1652,0,0
1653,0,0
1654,0,3
1655,0,0
1656,0,0
1657,0,1
1658,0,0
1659,0,1
1660,0,2
1661,0,1
1662,0,0
1663,0,0
1664,1,1
1665,0,0
1666,0,0
1667,1,0
1668,0,0
1669,0,1
1670,0,1
1671,0,1
1672,0,0
1673,0,0
1674,0,0
1675,0,0
1676,0,0
1677,0,0
1678,0,0
1679,0,0
1680,0,0
1681,0,0
1682,3,0
1683,1,1
1684,1,0
1685,0,0
1686,0,0
1687,0,0
1688,0,0
1689,0,0
1690,0,1
1691,0,1
1692,0,1
1693,0,0
1694,0,0
1695,0,0
1696,0,1
1697,0,0
1698,0,1
1699,1,0
1700,0,2
1701,0,0
1702,0,0
1703,1,2
1704,0,0
1705,0,0
1706,0,0
1707,0,1
1708,0,1
1709,0,0
1710,1,0
1711,0,0
1712,1,0
1713,0,1
1714,1,0
1715,1,1
1716,1,0
1717,1,0
1718,0,0
1719,0,1
1720,0,0
1721,1,0
1722,0,0
1723,2,1
1724,0,1
1725,0,0
1726,0,0
1727,1,0
1728,0,1
1729,0,2
1730,1,0
1731,1,0
1732,0,1
1733,0,0
1734,0,2
1735,1,0
1736,0,0
1737,0,0
1738,0,0
1739,1,0
1740,0,0
1741,0,0
1742,1,0
1743,0,1
1744,0,0
1745,0,0
1746,0,1
1747,0,0
1748,0,1
1749,0,0
1750,0,0
1751,0,0
1752,0,0
1753,0,0
1754,0,0
1755,0,1
1756,0,0
1757,0,0
1758,0,0
1759,0,0
1760,0,0
1761,0,0
1762,0,1
1763,1,0
1764,0,0
1765,1,0
1766,0,1
1767,0,1
1768,0,0
1769,0,1
1770,0,3
1771,0,0
1772,0,1
1773,0,0
1774,0,0
1775,1,0
1776,0,1
1777,1,1
1778,0,0
1779,0,0
1780,1,0
1781,0,0
1782,1,0
1783,0,0
1784,0,0
1785,0,0
1786,1,1
1787,1,2
1788,0,0
1789,0,1
1790,0,0
1791,0,0
1792,0,1
1793,0,0
1794,0,0
1795,0,3
1796,0,0
1797,0,2
1798,0,0
1799,1,2
1800,1,0
1801,0,0
1802,0,1
1803,0,0
1804,1,1
1805,0,1
1806,0,0
1807,0,0
1808,0,1
1809,1,0
1810,0,0
1811,0,0
1812,0,0
1813,1,1
1814,1,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,1,0
1821,0,0
1822,0,0
1823,0,1
1824,0,0
1825,0,1
1826,0,2
1827,0,1
1828,0,1
1829,0,1
1830,0,1
1831,0,0
1832,0,0
1833,0,2
1834,0,1
1835,1,0
1836,1,0
1837,0,1
1838,0,1
1839,0,0
1840,0,0
1841,1,0
1842,1,1
1843,0,0
1844,0,0
1845,1,0
1846,1,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,1,0
1852,0,1
1853,0,0
1854,0,1
1855,0,1
1856,0,1
1857,1,0
1858,2,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,1,1
1871,1,0
1872,0,1
1873,0,0
1874,0,0
1875,0,0
1876,0,1
1877,0,1
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,1
1883,0,1
1884,1,1
1885,0,1
1886,0,0
1887,1,1
1888,2,0
1889,0,0
1890,0,0
1891,1,0
1892,2,0
1893,0,1
1894,0,0
1895,0,2
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,1
1902,0,0
1903,0,0
1904,0,1
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,1
1910,0,0
1911,0,1
1912,0,0
1913,0,0
1914,0,1
1915,0,1
1916,0,0
1917,0,1
1918,0,0
1919,0,0
1920,0,0
1921,1,1
1922,0,0
1923,0,1
1924,1,0
1925,0,0
1926,0,0
1927,1,0
1928,1,0
1929,0,1
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,1
1937,0,0
1938,0,1
1939,1,2
1940,0,0
1941,0,1
1942,0,0
1943,0,0
1944,0,0
1945,0,1
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,1,1
1951,0,2
1952,0,0
1953,0,0
1954,1,0
1955,1,0
1956,0,0
1957,0,1
1958,0,0
1959,0,2
1960,0,0
1961,0,1
1962,0,0
1963,0,0
1964,0,1
1965,0,1
1966,0,0
1967,0,0
1968,0,0
1969,0,1
1970,0,0
1971,0,0
1972,0,1
1973,0,0
1974,0,0
1975,1,0
1976,0,2
1977,0,0
1978,0,0
1979,1,2
1980,0,0
1981,0,0
1982,1,0
1983,0,2
1984,0,0
1985,1,0
1986,0,3
1987,0,0
1988,1,0
1989,1,0
1990,0,1
1991,1,0
1992,0,0
1993,0,1
1994,0,1
1995,0,0
1996,0,1
1997,0,1
1998,0,0
1999,0,0
2000,0,1
2001,0,0
2002,0,2
2003,1,2
2004,0,0
2005,0,1
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,1,1
2013,0,2
2014,0,1
2015,0,0
2016,1,0
2017,0,0
2018,0,0
2019,0,0
2020,1,0
2021,1,0
2022,0,0
2023,0,0
2024,0,1
2025,0,0
2026,0,0
2027,0,0
2028,1,1
2029,1,0
2030,0,0
2031,0,1
2032,0,1
2033,0,1
2034,0,1
2035,0,0
2036,0,0
2037,0,0
2038,0,0
2039,0,1
2040,0,0
2041,0,0
2042,1,0
2043,0,0
2044,0,0
2045,2,0
2046,1,0
2047,0,3
2048,0,1
2049,0,1
2050,0,1
2051,0,0
2052,0,0
2053,0,0
2054,0,0
2055,0,0
2056,0,1
2057,1,1
2058,0,1
2059,2,0
2060,0,0
2061,0,1
2062,0,0
2063,0,2
2064,0,1
2065,0,0
2066,0,0
2067,2,1
2068,0,0
2069,0,0
2070,0,0
2071,0,0
2072,0,0
2073,0,1
2074,1,1
2075,0,0
2076,0,0
2077,0,2
2078,0,1
2079,0,0
2080,0,0
2081,0,1
2082,0,0
2083,0,0
2084,0,0
2085,0,0
2086,0,1
2087,2,0
2088,1,0
2089,0,0
2090,0,0
2091,0,0
2092,0,0
2093,2,0
2094,1,0
2095,0,0
2096,0,0
2097,0,1
2098,1,1
2099,0,0
2100,1,1
2101,1,0
2102,1,0
2103,0,1
2104,0,0
2105,0,0
2106,0,0
2107,0,0
2108,0,0
2109,0,1
2110,0,0
2111,1,1
2112,1,0
2113,0,0
2114,0,0
2115,0,1
2116,0,0
2117,0,1
2118,1,0
2119,0,1
2120,0,0
2121,1,1
2122,1,1
2123,0,0
2124,0,0
2125,0,0
2126,1,1
2127,0,1
2128,0,0
2129,0,0
2130,1,0
2131,0,2
2132,0,2
2133,0,0
2134,0,1
2135,0,0
